model,UPC,short_name,long_name,brand,shipping_type,quantity,list,Shipping Cost
7745.811,033056567753,American Standard 7745.811,American Standard 7745.811 White Removeable Vinyl Rim Guard,American Standard,Ground,1,136,10
0000.142H.002,012611181481,American Standard 0000.142H.002,American Standard 0000.142H.002 Chrome Heritage Metal Lever Handle,American Standard,Ground,5,54,6
0000.142V.002,012611181528,American Standard 0000.142V.002,American Standard 0000.142V.002 Chrome Heritage Vandal-Resistant Metal Lever Handle,American Standard,Ground,0,63,6
0000.172H.002,012611182136,American Standard 0000.172H.002,American Standard 0000.172H.002 Chrome Heritage Wrist Blade Handle,American Standard,Ground,11,73,6
0000.172V.002,012611182174,American Standard 0000.172V.002,American Standard 0000.172V.002 Chrome Heritage Vandal-Resistant Wrist Blade Handle,American Standard,Ground,0,85,6
0000.342H.002,012611181627,American Standard 0000.342H.002,American Standard 0000.342H.002 Chrome Heritage Metal Lever Handle,American Standard,Ground,1,54,6
0000.342V.002,012611181665,American Standard 0000.342V.002,American Standard 0000.342V.002 Chrome Heritage Vandal-Resistant Metal Lever Handle,American Standard,Ground,0,63,6
0000.372H.002,012611182228,American Standard 0000.372H.002,American Standard 0000.372H.002 Chrome Heritage Wrist Blade Handle,American Standard,Ground,1,73,6
0000.372V.002,012611182266,American Standard 0000.372V.002,American Standard 0000.372V.002 Chrome Heritage Vandal-Resistant Wrist Blade Handle,American Standard,Ground,0,85,6
002250.090,012611355516,American Standard 002250.090,American Standard 002250.090 Self-Closing Hot and Cold Fitting for 0-in to 4-in Wall Mounted,American Standard,Ground,0,480,10
002250.108,012611355509,American Standard 002250.108,American Standard 002250.108 Self-Closing Hot and Cold Fitting for 4-in to 9-in Wall Mounted,American Standard,Ground,0,550,10
021943-0070A,012611102820,American Standard 021943-0070A,American Standard 021943-0070A Mechanical Mixing Valve with 60 Mesh Strainer,American Standard,Ground,1,84,8
1340.105.002,012611382703,American Standard 1340.105.002,American Standard 1340.105.002 Chrome 1.0 GPM Pillar Tap Metering Faucet,American Standard,Ground,0,140,10
1340.107.002,012611501111,American Standard 1340.107.002,American Standard 1340.107.002 Chrome 0.5 GPM Pillar Tap Metering Faucet,American Standard,Ground,0,140,10
1340.109.002,012611476914,American Standard 1340.109.002,American Standard 1340.109.002 Chrome 1.0 GPM Pillar Tap Metering Faucet,American Standard,Ground,0,157,10
1340.119.002,012611501135,American Standard 1340.119.002,American Standard 1340.119.002 Chrome 0.5 GPM Pillar Tap Metering Faucet,American Standard,Ground,0,157,10
1340.225.002,012611374678,American Standard 1340.225.002,American Standard 1340.225.002 Chrome 1.0 GPM Metering Centerset Faucet,American Standard,Ground,2,249,10
1340.227.002,012611501159,American Standard 1340.227.002,American Standard 1340.227.002 Chrome 0.5 GPM Metering Centerset Faucet,American Standard,Ground,0,249,10
1340.265.002,012611374616,American Standard 1340.265.002,American Standard 1340.265.002 Chrome 1.0 GPM Metering Centerset Gooseneck Faucet,American Standard,Ground,0,291,10
